time,hwins,twins,helec,telec
2016-11-07 13:27:06.190929,0.741,0.251,305.109,232.147
2016-11-07 13:28:16.392009,0.73,0.263,303.084,234.226
2016-11-07 13:29:26.809700,0.703,0.283,299.603,237.701
2016-11-07 13:30:37.916988,0.727,0.267,302.472,234.784
2016-11-07 13:31:47.999281,0.724,0.263,301.592,235.622
2016-11-07 13:32:59.011785,0.727,0.265,302.694,234.586
2016-11-07 13:34:08.966404,0.713,0.278,299.734,237.498
2016-11-07 13:35:19.365025,0.757,0.237,304.509,232.651
2016-11-07 13:36:31.269654,0.755,0.235,304.95,232.336
2016-11-07 13:37:43.240354,0.736,0.253,301.463,235.715
2016-11-07 13:38:55.099488,0.737,0.255,304.759,232.593
2016-11-07 13:40:07.180470,0.722,0.271,299.847,237.451
2016-11-07 13:41:19.233432,0.75,0.241,304.471,232.79
2016-11-07 13:42:31.423871,0.695,0.296,299.529,237.697
2016-11-07 13:43:43.316518,0.72,0.268,303.06,234.238
2016-11-07 13:44:55.615426,0.734,0.26,302.606,234.674
2016-11-07 13:46:07.691694,0.733,0.256,301.922,235.34
2016-11-07 13:47:19.643183,0.741,0.252,304.327,232.977
2016-11-07 13:48:31.874547,0.751,0.241,304.815,232.495
2016-11-07 13:49:43.925937,0.727,0.267,300.159,237.157
2016-11-07 13:50:56.192023,0.763,0.224,306.378,230.866
2016-11-07 13:52:08.110308,0.757,0.237,307.625,229.691
2016-11-07 13:53:20.951362,0.749,0.244,305.688,231.556
2016-11-07 13:54:32.935372,0.725,0.26,302.711,234.599
2016-11-07 13:55:45.151634,0.711,0.278,300.056,237.236
2016-11-07 13:56:57.349810,0.71,0.279,302.58,234.736
2016-11-07 13:58:09.042475,0.728,0.261,298.675,238.419
2016-11-07 13:59:20.984447,0.737,0.25,304.699,232.659
2016-11-07 14:00:33.031657,0.722,0.268,300.228,237.039
2016-11-07 14:01:44.955767,0.711,0.28,300.673,236.679
2016-11-07 14:02:57.067463,0.738,0.248,304.379,232.895
2016-11-07 14:04:08.894705,0.7,0.294,298.529,238.745
2016-11-07 14:05:20.941777,0.714,0.276,300.339,237.013
2016-11-07 14:06:32.878988,0.715,0.277,301.45,235.788
2016-11-07 14:07:44.935300,0.709,0.276,298.159,239.097
2016-11-07 14:08:56.970308,0.717,0.272,300.087,237.211
2016-11-07 14:10:09.296758,0.716,0.278,301.657,235.491
2016-11-07 14:11:21.188625,0.712,0.275,301.156,236.16
2016-11-07 14:12:32.990937,0.711,0.279,299.882,237.554
2016-11-07 14:13:45.009500,0.742,0.253,302.697,234.589
2016-11-07 14:14:57.209184,0.723,0.268,303.211,234.039
2016-11-07 14:16:09.175445,0.735,0.255,303.954,233.296
2016-11-07 14:17:21.010501,0.711,0.273,302.267,235.001
2016-11-07 14:18:33.002415,0.739,0.253,303.673,233.631
2016-11-07 14:19:45.209597,0.742,0.247,304.867,232.449
2016-11-07 14:20:57.249248,0.717,0.278,300.096,237.022
2016-11-07 14:22:09.363704,0.742,0.253,304.518,232.702
2016-11-07 14:23:21.067237,0.721,0.274,302.334,234.946
2016-11-07 14:24:33.067979,0.716,0.271,302.25,234.982
2016-11-07 14:25:44.843669,0.727,0.267,302.48,234.716
2016-11-07 14:26:56.982208,0.741,0.244,305.038,232.158
2016-11-07 14:28:08.778015,0.74,0.252,303.759,233.497
2016-11-07 14:29:20.874799,0.746,0.247,303.241,234.123
2016-11-07 14:30:33.129351,0.722,0.265,302.314,234.972
2016-11-07 14:31:44.998687,0.721,0.272,302.965,234.333
2016-11-07 14:32:57.243537,0.72,0.269,302.938,234.384
2016-11-07 14:34:09.102372,0.709,0.283,302.397,234.919
